0,"My Hero Academia, Vol. 1 - My Hero Academia 1 (Paperback)",Kohei Horikoshi,6.99,1,10,9781421582696.jpg,"What would the world be like if 80 percent of the population manifested superpowers called Quirks at age four? Heroes and villains would be battling it out everywhere! Being a hero would mean learning to use your power, but where would you go to study? The Hero Academy of course! But what would you do if you were one of the 20 percent who were born Quirkless?Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn't got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all, gives him a chance to change his destiny...",192,210,6.98,
1,"Death Note Black Edition, Vol. 1 - DEATH NOTE BLACK 1 (Paperback)",Tsugumi Ohba,9.99,1,10,9781421539645.jpg,"Light Yagami is an ace student with great prospects - and he's bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and now Light has vowed to use the power of the Death Noteto rid the world of evil. But when criminals begin dropping dead, the authorities send the legendary detective L to track down the killer. With L hot on his heels, will Light lose sight of his noble goal...or his life?This contains the first two volumes of Death Note.",400,3458,7.54,
2,"One-Punch Man, Vol. 19 - One-Punch Man 19 (Paperback)",One,6.99,2,10,9781974711703.jpg,"Life gets pretty boring when you can beat the snot out of any villain with just one punch.Nothing about Saitama passes the eyeball test when it comes to superheroes, from his lifeless expression to his bald head to his unimpressive physique. However, this average-looking guy has a not-so-average problem-he just can't seem to find an opponent strong enough to take on!The Monster Association has kidnapped Tareo, the boy who admires Garo, and now Garo finds himself plunging headfirst and alone into the heart of the Monster Association's hideout. Meanwhile, the Hero Association pushes forward with its operation to rescue Waganma, while Genos and the others are living it up enjoying hot pot at Saitama's place!",232,2314,1.3,
3,"Dragon Ball Super, Vol. 8 - Dragon Ball Super 8 (Paperback)",Toyotarou,6.99,2,10,9781974709410.jpg,"Goku's adventure from the best-selling classic manga Dragon Ball continues in this new series written by Akira Toriyama himself!Ever since Goku became Earth's greatest hero and gathered the seven Dragon Balls to defeat the evil Boo, his life on Earth has grown a little dull. But new threats loom overhead, and Goku and his friends will have to defend the planet once again in this continuation of Akira Toriyama's best-selling series,Dragon Ball!The greatest warriors from across all of the universes are gathered at the Tournament of Power. Kale, a Saiyan from Universe 6, is on a rampage that's leading to the erasure of one universe after another. Meanwhile, Goku and the five remaining fighters from Universe 7 are still intent on surviving the battle and saving everything and everyone they know!",200,123,4.76,
4,"My Hero Academia, Vol. 2 - My Hero Academia 2 (Paperback)",Kouhei Horikoshi,6.99,1,10,9781421582702.jpg,"What would the world be like if 80 percent of the population manifested superpowers called Quirks at age four? Heroes and villains would be battling it out everywhere! Being a hero would mean learning to use your power, but where would you go to study? The Hero Academy of course! But what would you do if you were one of the 20 percent who were born Quirkless?Getting into U.A. High School was difficult enough, but it was only the beginning of Izuku's long road toward becoming a superhero. The new students all have some amazing powers, and although Izuku has inherited All Might's abilities, he can barely control them. Then the first-year students are told they will have to compete just to avoid being expelled!",208,3445,10,
5,"My Hero Academia, Vol. 3 - My Hero Academia 3 (Paperback)",Kohei Horikoshi,6.99,2,10,9781421585109.jpg,"What would the world be like if 80 percent of the population manifested superpowers called ""Quirks""? Heroes and villains would be battling it out everywhere! Being a hero would mean learning to use your power, but where would you go to study? The Hero Academy of course! But what would you do if you were one of the 20 percent who were born Quirkless?A sinister group of villains has attacked the first-year U.A. students, but their real target is All Might. It's all that Midoriya and his classmates can do to hold them off until reinforcements arrive. All Might joins the battle to protect the kids, but as his power runs out he may be forced into an extremely dangerous bluff!",192,122,6.78,
6,"My Hero Academia, Vol. 23 - My Hero Academia 23 (Paperback)",Kohei Horikoshi,6.99,3,10,9781974709663.jpg,"Midoriya inherits the superpower of the world's greatest hero, but greatness won't come easy.What would the world be like if 80 percent of the population manifested superpowers called ""Quirks""? Heroes and villains would be battling it out everywhere! Being a hero would mean learning to use your power, but where would you go to study? The Hero Academy of course! But what would you do if you were one of the 20 percent who were born Quirkless?The final match of the battle training between Class A and Class B continues. Zapped by Shinso's mind control, Midoriya enters a fugue state where he meets one of the former users of One For All. What powerful Quirks have yet to be unlocked? Midoriya will surely need the full potential of One For All someday, but in the meantime, a new enemy-the Meta Liberation Army-begins to make its moves.",200,12,3.98,
7,"My Hero Academia, Vol. 4 - My Hero Academia 4 (Paperback)",Kohei Horikoshi,6.99,4,10,9781421585116.jpg,"What would the world be like if 80 percent of the population manifested superpowers called ""Quirks""? Heroes and villains would be battling it out everywhere! Being a hero would mean learning to use your power, but where would you go to study? The Hero Academy of course! But what would you do if you were one of the 20 percent who were born Quirkless?The U.A. High sports festival is a chance for the budding heroes to show their stuff and find a superhero mentor. The students have already struggled through a grueling preliminary round, but now they have to team up to prove they're capable of moving on to the next stage. The whole country is watching, and so are the shadowy forces that attacked the academy...",192,123,4.72,
8,"My Hero Academia, Vol. 5 - My Hero Academia 5 (Paperback)",Kohei Horikoshi,6.99,3,10,9781421587028.jpg,"What would the world be like if 80 percent of the population manifested superpowers called ""Quirks""? Heroes and villains would be battling it out everywhere! Being a hero would mean learning to use your power, but where would you go to study? The Hero Academy of course! But what would you do if you were one of the 20 percent who were born Quirkless?The final stages of the U.A. High sports festival promise to be explosive as Uraraka takes on Bakugo in a head to head match! Bakugo never gives anyone a break, and the crowd holds its breath as the battle begins. The finals will push the students of Class 1-A to their limits and beyond!",192,43,8.32,
9,"Tokyo Ghoul, Vol. 1 - Tokyo Ghoul 1 (Paperback)",Sui Ishida,8.99,3,10,9781421580364.jpg,"Ghouls live among us, the same as normal people in every way - except their craving for human flesh. Ken Kaneki is an ordinary college student until a violent encounter turns him into the first half-human half-ghoul hybrid. Trapped between two worlds, he must survive Ghoul turf wars, learn more about Ghoul society and master his new powers.Shy Ken Kaneki is thrilled to go on a date with the beautiful Rize. But it turns out that she's only interested in his body - eating it, that is. When a morally questionable rescue transforms him into the first half-human half-Ghoul hybrid, Ken is drawn into the dark and violent world of Ghouls, which exists alongside our own.",224,654,6.98,
